project_id,reporting_month,project_length_km,original_contract_value_inr_cr,planned_duration_months,months_since_start,state,project_type,contractor,planned_physical_progress_pct,actual_physical_progress_pct,physical_progress_variance_pct,planned_financial_progress_pct,actual_financial_progress_pct,financial_progress_variance_pct,planned_cost_to_date_inr_cr,actual_expenditure_inr_cr,actual_cost_to_date_inr_cr,material_cost_inr_cr,labour_cost_inr_cr,equipment_cost_inr_cr,variation_cost_inr_cr,delay_related_cost_inr_cr,contractor_productivity_factor,land_acquisition_delay_days,utility_shifting_delay_days,environment_clearance_delay_days,material_delay_days,labour_shortage_days,equipment_unavailability_days,weather_disruption_days,traffic_diversion_delay_days,design_change_delay_days,approval_delay_days,expenditure_gap_inr_cr,cost_tracking_gap_inr_cr,delay_factor_count,delay_factor_severity,project_age_ratio,months_to_planned_completion,schedule_pressure,progress_efficiency,cost_growth_rate,recent_progress_trend_3m,recent_cost_trend_3m,consecutive_underperforming_months,recent_adverse_events_3m,is_terminal_snapshot,final_cost_overrun_pct,cost_overrun
HRI-0001,2024-02,10.66,179.06,12,11,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,98.03,94.77,-3.26,98.03,,,175.54,,170.31,94.22,43.01,31.98,0.0,1.1,1.103,27.8,11.1,0.0,0.6,10.7,0.0,,3.4,0.0,0.0,,,,,0.9166666666666666,1,5.230000000000004,0.9667448740181577,0.9702062208043751,9.11,16.416666666666668,0,2.0,False,5.11,0
HRI-0001,2024-03,10.66,179.06,12,12,Kerala,Road Widening (4 to 6 lane),Aravalli Infrastructure Ltd,100.0,100.0,0.0,100.0,100.0,0.0,179.06,179.06,188.21,104.3,47.97,34.83,0.0,1.11,1.098,27.8,11.1,0.0,0.6,10.7,0.0,,3.4,0.0,0.0,0.0,-9.150000000000006,,,1.0,0,0.0,1.0,1.051100189880487,8.076666666666668,17.170000000000005,1,1.0,True,5.11,0
HRI-0002,2023-04,67.54,1819.68,32,1,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,0.29,2.91,2.62,0.29,2.92,2.63,5.22,53.08,59.73,34.71,14.16,10.85,0.0,0.01,1.023,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,47.86,-6.649999999999999,1.0,0.5,0.03125,31,3.1319354838709677,5.0,5.0,2.91,59.73,1,1.0,False,14.85,1
HRI-0002,2023-05,67.54,1819.68,32,2,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,1.12,6.48,5.36,1.12,6.52,5.4,20.44,118.73,127.43,71.74,30.32,25.29,0.0,0.07,1.018,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,98.29,-8.700000000000003,1.0,2.5,0.0625,30,3.1173333333333333,5.0,5.0,3.24,63.715,0,2.0,False,14.85,1
HRI-0002,2023-06,67.54,1819.68,32,3,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,2.47,10.03,7.56,2.47,10.25,7.78,44.98,186.57,193.62,106.76,47.41,39.1,0.0,0.34,1.016,0.0,0.1,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,141.59,-7.050000000000011,2.0,11.299999999999999,0.09375,29,3.102413793103448,4.06072874493927,4.304579813250334,3.3433333333333333,64.54,0,3.0,False,14.85,1
HRI-0002,2023-07,67.54,1819.68,32,4,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,4.3,13.36,9.06,4.3,13.69,9.39,78.19,249.06,335.46,144.2,62.91,51.93,75.99,0.42,0.914,0.0,0.1,0.0,0.0,0.0,0.0,14.2,0.0,0.0,34.2,170.87,-86.39999999999998,3.0,48.5,0.125,28,3.0942857142857143,3.1069767441860465,4.290318455045402,3.483333333333333,91.91000000000001,0,3.0,False,14.85,1
HRI-0002,2023-08,67.54,1819.68,32,5,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,6.56,17.55,10.99,6.56,18.02,11.46,119.39,327.95,414.63,187.46,82.95,67.65,75.99,0.57,1.016,0.0,0.1,0.0,0.0,0.0,0.0,21.3,0.0,0.0,34.2,208.56,-86.68,3.0,55.60000000000001,0.15625,27,3.053703703703704,2.675304878048781,3.4729039283022027,3.69,95.73333333333333,0,3.0,False,14.85,1
HRI-0002,2023-09,67.54,1819.68,32,6,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,9.23,20.71,11.48,9.23,21.35,12.12,167.93,388.44,474.34,220.75,97.7,79.28,75.99,0.61,0.991,0.0,0.1,0.0,0.0,1.1,0.0,21.8,0.0,0.0,34.2,220.51,-85.89999999999998,4.0,57.2,0.1875,26,3.049615384615384,2.2437703141928496,2.824629309831477,3.5600000000000005,93.57333333333332,0,3.0,False,14.85,1
HRI-0002,2023-10,67.54,1819.68,32,7,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,12.26,24.51,12.25,12.26,25.39,13.13,223.13,462.04,542.12,259.39,114.39,91.74,75.99,0.62,1.017,0.0,0.1,0.0,0.0,1.1,0.0,22.6,0.0,0.0,34.2,238.91000000000003,-80.07999999999998,4.0,58.00000000000001,0.21875,25,3.0195999999999996,1.9991843393148452,2.429615022632546,3.7166666666666672,68.88666666666667,0,3.0,False,14.85,1
HRI-0002,2023-11,67.54,1819.68,32,8,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,15.62,27.8,12.18,15.62,,,284.32,,601.61,294.72,128.21,102.05,75.99,0.64,0.978,0.0,0.1,0.0,0.0,1.1,0.0,24.0,0.0,0.0,34.2,,,4.0,59.400000000000006,0.25,24,3.0083333333333333,1.7797695262483997,2.1159608891389983,3.4166666666666665,62.326666666666675,0,3.0,False,14.85,1
HRI-0002,2023-12,67.54,1819.68,32,9,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,19.28,31.0,11.72,19.28,32.14,12.86,350.85,584.85,659.03,326.17,144.87,111.34,75.99,0.65,0.979,0.0,0.1,0.0,0.0,1.1,0.0,24.5,0.0,0.0,34.2,234.0,-74.17999999999995,4.0,59.900000000000006,0.28125,23,3.0,1.6078838174273857,1.878381074533276,3.4299999999999997,61.56333333333333,0,3.0,False,14.85,1
HRI-0002,2024-01,67.54,1819.68,32,10,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,23.19,34.17,10.97,23.19,35.57,12.37,422.04,647.22,722.85,360.26,161.41,124.38,75.99,0.81,0.923,0.0,0.1,0.0,3.0,1.1,0.0,26.5,0.0,0.0,34.2,225.18,-75.63,5.0,64.9,0.3125,22,2.992272727272727,1.4734799482535577,1.712752345749218,3.22,60.24333333333334,0,3.0,False,14.85,1
HRI-0002,2024-02,67.54,1819.68,32,11,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,27.33,37.61,10.28,27.33,39.28,11.95,497.24,714.77,785.66,395.33,176.76,136.73,75.99,0.84,0.971,0.0,0.1,0.0,3.0,1.1,0.0,27.7,0.0,0.0,34.2,217.52999999999997,-70.88999999999999,5.0,66.10000000000001,0.34375,21,2.970952380952381,1.376143432125869,1.5800418309066044,3.2699999999999996,61.34999999999999,0,3.0,False,14.85,1
HRI-0002,2024-03,67.54,1819.68,32,12,Karnataka,Greenfield Highway,,31.64,40.85,9.21,31.64,42.97,11.33,575.76,781.9,846.68,428.14,192.08,149.61,75.99,0.86,0.913,0.0,0.1,0.0,3.0,1.1,0.0,29.2,0.0,0.0,34.2,206.14,-64.77999999999997,5.0,67.6,0.375,20,2.9575,1.2910872313527182,1.4705432819230235,3.2833333333333337,62.54999999999999,0,3.0,False,14.85,1
HRI-0002,2024-04,67.54,1819.68,32,13,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,36.1,43.84,7.74,36.1,46.32,10.22,656.95,842.93,903.85,461.36,207.18,158.16,75.99,1.15,0.889,0.0,0.1,0.0,3.0,16.8,0.0,33.2,0.0,0.0,34.2,185.9799999999999,-60.92000000000007,5.0,87.30000000000001,0.40625,19,2.9557894736842103,1.2144044321329641,1.3758276885607732,3.223333333333334,60.333333333333336,1,3.0,False,14.85,1
HRI-0002,2024-05,67.54,1819.68,32,14,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,40.67,46.56,5.89,40.67,49.39,8.71,740.13,898.68,952.73,486.97,219.61,168.99,75.99,1.17,0.875,0.0,0.1,0.0,3.0,16.8,0.0,34.5,0.0,0.0,34.2,158.54999999999995,-54.05000000000007,5.0,88.6,0.4375,18,2.968888888888889,1.1448241947381361,1.2872468350154702,2.9833333333333343,55.69000000000002,2,3.0,False,14.85,1
HRI-0002,2024-06,67.54,1819.68,32,15,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,45.32,48.4,3.08,45.32,51.5,6.18,824.65,937.08,989.17,507.56,229.11,175.19,75.99,1.31,0.911,0.0,0.1,0.0,3.0,16.8,0.0,38.5,0.0,0.0,34.2,112.43000000000006,-52.08999999999992,5.0,92.6,0.46875,17,3.0352941176470587,1.0679611650485437,1.1995028193779178,2.5166666666666657,47.49666666666667,3,3.0,False,14.85,1
HRI-0002,2024-07,67.54,1819.68,32,16,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,50.0,51.94,1.94,50.0,55.53,5.53,909.84,1010.47,1059.15,543.74,244.99,185.88,83.19,1.36,0.925,0.0,0.1,0.0,3.0,16.8,0.0,41.2,0.0,0.0,36.9,100.63,-48.680000000000064,5.0,98.0,0.5,16,3.00375,1.0388,1.164105776839884,2.699999999999998,51.76666666666669,0,3.0,False,14.85,1
HRI-0002,2024-08,67.54,1819.68,32,17,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,54.68,55.31,0.63,54.68,59.41,4.73,995.03,1081.06,1124.67,578.87,261.05,200.07,83.19,1.49,1.047,0.0,0.1,0.0,3.0,16.8,0.0,45.8,0.0,0.0,36.9,86.02999999999997,-43.61000000000013,5.0,102.6,0.53125,15,2.9793333333333334,1.011521580102414,1.1302875290192256,2.9166666666666665,57.313333333333354,0,3.0,False,14.85,1
HRI-0002,2024-09,67.54,1819.68,32,18,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,59.33,56.34,-2.99,59.33,60.56,1.23,1079.55,1101.98,1221.48,589.32,265.57,202.98,161.65,1.96,0.992,0.0,0.1,0.0,3.0,16.8,0.0,67.8,0.0,0.0,96.0,22.430000000000064,-119.5,5.0,183.7,0.5625,14,3.1185714285714283,0.9496039103320412,1.1314714464360152,2.6466666666666683,77.43666666666668,1,3.0,False,14.85,1
HRI-0002,2024-10,67.54,1819.68,32,19,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,63.9,58.29,-5.61,63.9,62.78,-1.11,1162.73,1142.46,1264.11,610.92,274.29,209.36,167.58,1.96,0.924,0.0,0.1,0.0,3.0,16.8,0.0,67.8,0.0,0.0,99.8,-20.269999999999982,-121.64999999999986,5.0,187.5,0.59375,13,3.2084615384615387,0.9122065727699531,1.0871913513885423,2.116666666666667,68.31999999999994,2,3.0,False,14.85,1
HRI-0002,2024-11,67.54,1819.68,32,20,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,68.36,61.42,-6.94,68.36,66.39,-1.97,1243.92,1208.08,1319.51,642.34,287.4,219.97,167.58,2.22,0.935,0.0,0.1,0.0,3.0,25.2,,68.0,0.0,0.0,99.8,-35.840000000000146,-111.43000000000006,,,0.625,12,3.215,0.8984786424809831,1.060767573477394,2.0366666666666666,64.94666666666664,0,2.0,False,14.85,1
HRI-0002,2024-12,67.54,1819.68,32,21,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,72.67,63.82,-8.85,72.67,69.15,-3.53,1322.44,1258.29,1365.96,669.06,298.51,228.51,167.58,2.29,0.993,1.9,0.1,0.0,3.0,25.2,0.0,70.9,0.0,0.0,99.8,-64.15000000000009,-107.67000000000007,6.0,200.9,0.65625,11,3.289090909090909,0.8782165955690105,1.0329088654305678,2.4933333333333323,48.160000000000004,1,2.0,False,14.85,1
HRI-0002,2025-01,67.54,1819.68,32,22,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,76.81,66.71,-10.1,76.81,72.47,-4.34,1397.64,1318.74,1415.34,695.25,310.08,240.0,167.58,2.44,0.93,4.7,1.8,0.0,3.0,25.2,0.0,75.1,0.0,0.0,99.8,-78.90000000000009,-96.59999999999991,6.0,209.6,0.6875,10,3.3290000000000006,0.8685067048561385,1.0126642053747745,2.806666666666665,50.410000000000004,2,2.0,False,14.85,1
HRI-0002,2025-02,67.54,1819.68,32,23,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,80.72,70.22,-10.5,80.72,76.51,-4.21,1468.83,1392.25,1500.88,731.41,325.95,252.86,188.09,2.58,0.985,4.7,1.8,0.0,3.0,25.2,5.7,75.3,0.0,0.0,108.4,-76.57999999999993,-108.63000000000011,7.0,224.1,0.71875,9,3.308888888888889,0.8699207135777998,1.0218200880973294,2.9333333333333322,60.456666666666706,0,3.0,False,14.85,1
HRI-0002,2025-03,67.54,1819.68,32,24,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,84.38,73.25,-11.13,84.38,79.88,-4.49,1535.36,1453.64,1558.4,761.06,341.43,265.05,188.09,2.76,0.991,4.7,1.8,0.0,3.0,29.9,5.7,,0.0,0.0,108.4,-81.7199999999998,-104.75999999999999,,,0.75,8,3.34375,0.8680967053804219,1.0150062526052523,3.143333333333333,64.14666666666669,1,2.0,False,14.85,1
HRI-0002,2025-04,67.54,1819.68,32,25,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,87.74,75.6,-12.13,87.74,82.49,-5.25,1596.55,1501.1,1607.73,788.96,352.19,275.67,188.09,2.82,0.946,4.7,1.8,0.0,3.0,29.9,5.7,80.4,0.0,0.0,108.4,-95.45000000000005,-106.63000000000011,7.0,233.9,0.78125,7,3.4857142857142867,0.8616366537497151,1.007002599354859,2.9633333333333334,64.13000000000004,2,2.0,False,14.85,1
HRI-0002,2025-05,67.54,1819.68,32,26,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,90.77,78.7,-12.07,90.77,85.92,-4.85,1651.75,1563.52,1670.09,823.52,366.8,288.85,188.09,2.83,0.947,4.7,1.8,0.0,3.0,29.9,5.7,81.3,0.0,0.0,108.4,-88.23000000000002,-106.56999999999994,7.0,234.8,0.8125,6,3.5499999999999994,0.8670265506224524,1.0111033752081127,2.826666666666668,56.40333333333327,3,2.0,False,14.85,1
HRI-0002,2025-06,67.54,1819.68,32,27,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,93.44,81.48,-11.96,93.44,88.83,-4.6,1700.29,1616.5,1717.4,849.04,378.35,298.74,188.09,3.18,0.983,4.7,1.8,0.0,3.0,29.9,5.7,92.2,0.0,0.0,108.4,-83.78999999999996,-100.90000000000009,7.0,245.70000000000002,0.84375,5,3.7039999999999993,0.8720034246575343,1.0100629892547743,2.7433333333333345,53.0,4,3.0,False,14.85,1
HRI-0002,2025-07,67.54,1819.68,32,28,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,95.7,84.45,-11.26,95.7,91.92,-3.78,1741.49,1672.69,1777.16,882.62,394.23,309.01,188.09,3.21,0.956,4.7,1.8,0.0,3.9,29.9,5.7,92.8,0.0,0.0,108.4,-68.79999999999995,-104.47000000000003,7.0,247.20000000000002,0.875,4,3.8874999999999993,0.8824451410658307,1.0204824604218228,2.950000000000003,56.47666666666669,5,3.0,False,14.85,1
HRI-0002,2025-08,67.54,1819.68,32,29,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,97.53,87.8,-9.73,97.53,,,1774.7,,1846.95,922.21,412.67,320.76,188.09,3.22,0.974,4.7,1.8,0.0,3.9,29.9,5.7,93.7,0.0,0.0,108.4,,,7.0,248.10000000000002,0.90625,3,4.066666666666667,0.9002358248743976,1.0407111061024399,3.0333333333333314,58.953333333333376,0,3.0,False,14.85,1
HRI-0002,2025-09,67.54,1819.68,32,30,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,98.88,90.79,-8.08,98.88,98.45,-0.43,1799.24,1791.44,1908.89,958.56,426.7,332.29,188.09,3.25,0.973,4.7,1.8,0.0,3.9,29.9,5.7,95.2,0.0,0.0,108.4,-7.7999999999999545,-117.45000000000005,7.0,249.60000000000002,0.9375,2,4.604999999999997,0.9181836569579289,1.0609423979013362,3.103333333333334,63.830000000000005,1,3.0,False,14.85,1
HRI-0002,2025-10,67.54,1819.68,32,31,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,99.71,91.67,-8.04,99.71,99.31,-0.4,1814.46,1807.16,1925.99,968.81,430.86,334.95,188.09,3.27,0.988,4.7,1.8,0.0,3.9,29.9,5.7,95.8,0.0,0.0,108.4,-7.2999999999999545,-118.82999999999993,7.0,250.20000000000002,0.96875,1,8.329999999999998,0.9193661618694214,1.0614673236114325,2.4066666666666663,49.60999999999998,2,3.0,False,14.85,1
HRI-0002,2025-11,67.54,1819.68,32,32,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,100.0,94.12,-5.88,100.0,100.0,0.0,1819.68,1819.68,1975.56,997.02,442.26,344.52,188.09,3.67,0.983,4.7,1.8,0.0,3.9,29.9,,,12.9,0.0,108.4,0.0,-155.87999999999988,,,1.0,0,5.8799999999999955,0.9412,1.0856634133474017,2.106666666666669,42.86999999999997,3,2.0,False,14.85,1
HRI-0002,2025-12,67.54,1819.68,32,33,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,100.0,96.73,-3.27,100.0,100.0,0.0,1819.68,1819.68,2028.54,1026.01,456.53,354.14,188.09,3.76,0.962,4.7,1.8,0.0,3.9,29.9,,101.2,12.9,0.0,108.4,0.0,-208.8599999999999,,,1.03125,-1,3.269999999999996,0.9673,1.114778422579794,1.9799999999999993,39.88333333333329,4,1.0,False,14.85,1
HRI-0002,2026-01,67.54,1819.68,32,34,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,100.0,100.0,0.0,100.0,100.0,0.0,1819.68,1819.68,2089.9,1058.0,472.95,367.09,188.09,3.77,0.94,4.7,1.8,0.0,3.9,29.9,5.7,101.4,12.9,0.0,108.4,0.0,-270.22,8.0,268.70000000000005,1.0625,-2,0.0,1.0,1.1484986371230106,2.776666666666666,54.63666666666669,0,1.0,True,14.85,1
HRI-0003,2020-03,30.09,247.6,13,1,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,1.68,6.5,4.82,1.68,6.4,4.71,4.17,15.83,18.36,10.06,4.8,3.48,0.0,0.02,0.921,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,11.66,-2.5299999999999994,1.0,0.9,0.07692307692307693,12,7.791666666666667,3.869047619047619,4.402877697841727,6.5,18.36,1,1.0,False,4.4,0
HRI-0003,2020-04,30.09,247.6,13,2,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,6.37,13.53,7.16,6.37,13.3,6.93,15.78,32.93,35.77,20.05,9.46,6.23,0.0,0.04,0.983,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,17.15,-2.8400000000000034,1.0,2.9,0.15384615384615385,11,7.86090909090909,2.1240188383045524,2.266793409378961,6.765,17.885,2,2.0,False,4.4,0
HRI-0003,2020-05,30.09,247.6,13,3,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,13.52,21.2,7.69,13.52,20.86,7.34,33.47,51.65,54.12,29.98,14.7,9.39,0.0,0.05,1.001,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,18.18,-2.469999999999999,1.0,3.7,0.23076923076923078,10,7.88,1.5680473372781065,1.6169704212727816,7.066666666666666,18.04,3,3.0,False,4.4,0
HRI-0003,2020-06,30.09,247.6,13,4,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,22.58,29.64,7.06,22.58,29.32,6.75,55.9,72.6,76.69,41.93,20.67,14.04,0.0,0.05,1.051,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,16.699999999999996,-4.090000000000003,1.0,3.9,0.3076923076923077,9,7.817777777777778,1.312666076173605,1.3719141323792488,7.713333333333334,19.44333333333333,0,3.0,False,4.4,0
HRI-0003,2020-07,30.09,247.6,13,5,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,33.0,36.47,3.48,33.0,36.03,3.03,81.71,89.21,93.8,50.72,25.19,17.66,0.0,0.23,1.06,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.4,0.0,0.0,7.5,-4.590000000000003,2.0,20.099999999999998,0.38461538461538464,8,7.94125,1.1051515151515152,1.1479623057153348,7.646666666666666,19.34333333333333,1,3.0,False,4.4,0
HRI-0003,2020-08,30.09,247.6,13,6,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,44.24,44.97,0.73,44.24,43.77,-0.47,109.54,108.38,112.61,61.05,30.45,20.8,0.0,0.31,1.045,0.0,0.0,0.0,0.0,0.0,0.0,26.8,0.4,0.0,0.0,-1.1600000000000108,-4.230000000000004,2.0,27.2,0.46153846153846156,7,7.861428571428571,1.016500904159132,1.028026291765565,7.923333333333333,19.496666666666666,0,3.0,False,4.4,0
HRI-0003,2020-09,30.09,247.6,13,7,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,55.76,50.64,-5.11,55.76,48.74,-7.02,138.06,120.67,126.89,68.67,34.25,23.53,,0.44,0.909,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.4,0.0,0.0,-17.39,-6.219999999999999,2.0,34.0,0.5384615384615384,6,8.226666666666667,0.9081779053084649,0.9190931479067073,7.0,16.733333333333334,1,3.0,False,4.4,0
