data_provenance,project_id,project_name,highway_number,state,project_type,contractor,project_length_km,original_contract_value_inr_cr,planned_start_date,planned_completion_date,planned_duration_months,reporting_month,months_since_start,project_status,planned_physical_progress_pct,actual_physical_progress_pct,physical_progress_variance_pct,planned_financial_progress_pct,actual_financial_progress_pct,financial_progress_variance_pct,planned_expenditure_inr_cr,actual_expenditure_inr_cr,expenditure_variance_pct,land_acquisition_delay_days,utility_shifting_delay_days,environment_clearance_delay_days,material_delay_days,labour_shortage_days,equipment_unavailability_days,weather_disruption_days,contractor_productivity_factor,traffic_diversion_delay_days,design_change_delay_days,approval_delay_days,planned_cost_to_date_inr_cr,actual_cost_to_date_inr_cr,material_cost_inr_cr,labour_cost_inr_cr,equipment_cost_inr_cr,variation_cost_inr_cr,delay_related_cost_inr_cr,final_delay_days,significant_delay,final_cost_overrun_pct,cost_overrun
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2023-05,2,Ongoing,1.12,6.48,5.36,1.12,6.52,5.4,20.44,118.73,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.018,0.0,0.0,0.0,20.44,127.43,71.74,30.32,25.29,0.0,0.07,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2023-06,3,Ongoing,2.47,10.03,7.56,2.47,10.25,7.78,44.98,186.57,7.78,0.0,0.1,0.0,0.0,0.0,0.0,11.2,1.016,0.0,0.0,0.0,44.98,193.62,106.76,47.41,39.1,0.0,0.34,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2023-07,4,Ongoing,4.3,13.36,9.06,4.3,13.69,9.39,78.19,249.06,9.39,0.0,0.1,0.0,0.0,0.0,0.0,14.2,0.914,0.0,0.0,34.2,78.19,335.46,144.2,62.91,51.93,75.99,0.42,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2023-08,5,Ongoing,6.56,17.55,10.99,6.56,18.02,11.46,119.39,327.95,11.46,0.0,0.1,0.0,0.0,0.0,0.0,21.3,1.016,0.0,0.0,34.2,119.39,414.63,187.46,82.95,67.65,75.99,0.57,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2023-09,6,Ongoing,9.23,20.71,11.48,9.23,21.35,12.12,167.93,388.44,12.12,0.0,0.1,0.0,0.0,1.1,0.0,21.8,0.991,0.0,0.0,34.2,167.93,474.34,220.75,97.7,79.28,75.99,0.61,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2023-10,7,Ongoing,12.26,24.51,12.25,12.26,25.39,13.13,223.13,462.04,13.13,0.0,0.1,0.0,0.0,1.1,0.0,22.6,1.017,0.0,0.0,34.2,223.13,542.12,259.39,114.39,91.74,75.99,0.62,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2023-11,8,Ongoing,15.62,27.8,12.18,15.62,,,284.32,,,0.0,0.1,0.0,0.0,1.1,0.0,24.0,0.978,0.0,0.0,34.2,284.32,601.61,294.72,128.21,102.05,75.99,0.64,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2023-12,9,Ongoing,19.28,31.0,11.72,19.28,32.14,12.86,350.85,584.85,12.86,0.0,0.1,0.0,0.0,1.1,0.0,24.5,0.979,0.0,0.0,34.2,350.85,659.03,326.17,144.87,111.34,75.99,0.65,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2024-01,10,Ongoing,23.19,34.17,10.97,23.19,35.57,12.37,422.04,647.22,12.37,0.0,0.1,0.0,3.0,1.1,0.0,26.5,0.923,0.0,0.0,34.2,422.04,722.85,360.26,161.41,124.38,75.99,0.81,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2024-02,11,Ongoing,27.33,37.61,10.28,27.33,39.28,11.95,497.24,714.77,11.95,0.0,0.1,0.0,3.0,1.1,0.0,27.7,0.971,0.0,0.0,34.2,497.24,785.66,395.33,176.76,136.73,75.99,0.84,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,,67.54,1819.68,2023-03-01,2025-11-01,32,2024-03,12,Ongoing,31.64,40.85,9.21,31.64,42.97,11.33,575.76,781.9,11.33,0.0,0.1,0.0,3.0,1.1,0.0,29.2,0.913,0.0,0.0,34.2,575.76,846.68,428.14,192.08,149.61,75.99,0.86,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2024-04,13,Ongoing,36.1,43.84,7.74,36.1,46.32,10.22,656.95,842.93,10.22,0.0,0.1,0.0,3.0,16.8,0.0,33.2,0.889,0.0,0.0,34.2,656.95,903.85,461.36,207.18,158.16,75.99,1.15,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2024-05,14,Ongoing,40.67,46.56,5.89,40.67,49.39,8.71,740.13,898.68,8.71,0.0,0.1,0.0,3.0,16.8,0.0,34.5,0.875,0.0,0.0,34.2,740.13,952.73,486.97,219.61,168.99,75.99,1.17,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2024-06,15,Ongoing,45.32,48.4,3.08,45.32,51.5,6.18,824.65,937.08,6.18,0.0,0.1,0.0,3.0,16.8,0.0,38.5,0.911,0.0,0.0,34.2,824.65,989.17,507.56,229.11,175.19,75.99,1.31,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2024-07,16,Ongoing,50.0,51.94,1.94,50.0,55.53,5.53,909.84,1010.47,5.53,0.0,0.1,0.0,3.0,16.8,0.0,41.2,0.925,0.0,0.0,36.9,909.84,1059.15,543.74,244.99,185.88,83.19,1.36,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2024-08,17,Ongoing,54.68,55.31,0.63,54.68,59.41,4.73,995.03,1081.06,4.73,0.0,0.1,0.0,3.0,16.8,0.0,45.8,1.047,0.0,0.0,36.9,995.03,1124.67,578.87,261.05,200.07,83.19,1.49,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2024-09,18,Ongoing,59.33,56.34,-2.99,59.33,60.56,1.23,1079.55,1101.98,1.23,0.0,0.1,0.0,3.0,16.8,0.0,67.8,0.992,0.0,0.0,96.0,1079.55,1221.48,589.32,265.57,202.98,161.65,1.96,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2024-10,19,Ongoing,63.9,58.29,-5.61,63.9,62.78,-1.11,1162.73,1142.46,-1.11,0.0,0.1,0.0,3.0,16.8,0.0,67.8,0.924,0.0,0.0,99.8,1162.73,1264.11,610.92,274.29,209.36,167.58,1.96,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2024-11,20,Ongoing,68.36,61.42,-6.94,68.36,66.39,-1.97,1243.92,1208.08,-1.97,0.0,0.1,0.0,3.0,25.2,,68.0,0.935,0.0,0.0,99.8,1243.92,1319.51,642.34,287.4,219.97,167.58,2.22,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2024-12,21,Ongoing,72.67,63.82,-8.85,72.67,69.15,-3.53,1322.44,1258.29,-3.53,1.9,0.1,0.0,3.0,25.2,0.0,70.9,0.993,0.0,0.0,99.8,1322.44,1365.96,669.06,298.51,228.51,167.58,2.29,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-01,22,Ongoing,76.81,66.71,-10.1,76.81,72.47,-4.34,1397.64,1318.74,-4.34,4.7,1.8,0.0,3.0,25.2,0.0,75.1,0.93,0.0,0.0,99.8,1397.64,1415.34,695.25,310.08,240.0,167.58,2.44,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-02,23,Ongoing,80.72,70.22,-10.5,80.72,76.51,-4.21,1468.83,1392.25,-4.21,4.7,1.8,0.0,3.0,25.2,5.7,75.3,0.985,0.0,0.0,108.4,1468.83,1500.88,731.41,325.95,252.86,188.09,2.58,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-03,24,Ongoing,84.38,73.25,-11.13,84.38,79.88,-4.49,1535.36,1453.64,-4.49,4.7,1.8,0.0,3.0,29.9,5.7,,0.991,0.0,0.0,108.4,1535.36,1558.4,761.06,341.43,265.05,188.09,2.76,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-04,25,Ongoing,87.74,75.6,-12.13,87.74,82.49,-5.25,1596.55,1501.1,-5.25,4.7,1.8,0.0,3.0,29.9,5.7,80.4,0.946,0.0,0.0,108.4,1596.55,1607.73,788.96,352.19,275.67,188.09,2.82,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-05,26,Ongoing,90.77,78.7,-12.07,90.77,85.92,-4.85,1651.75,1563.52,-4.85,4.7,1.8,0.0,3.0,29.9,5.7,81.3,0.947,0.0,0.0,108.4,1651.75,1670.09,823.52,366.8,288.85,188.09,2.83,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-06,27,Ongoing,93.44,81.48,-11.96,93.44,88.83,-4.6,1700.29,1616.5,-4.6,4.7,1.8,0.0,3.0,29.9,5.7,92.2,0.983,0.0,0.0,108.4,1700.29,1717.4,849.04,378.35,298.74,188.09,3.18,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-07,28,Ongoing,95.7,84.45,-11.26,95.7,91.92,-3.78,1741.49,1672.69,-3.78,4.7,1.8,0.0,3.9,29.9,5.7,92.8,0.956,0.0,0.0,108.4,1741.49,1777.16,882.62,394.23,309.01,188.09,3.21,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-08,29,Ongoing,97.53,87.8,-9.73,97.53,,,1774.7,,,4.7,1.8,0.0,3.9,29.9,5.7,93.7,0.974,0.0,0.0,108.4,1774.7,1846.95,922.21,412.67,320.76,188.09,3.22,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-09,30,Ongoing,98.88,90.79,-8.08,98.88,98.45,-0.43,1799.24,1791.44,-0.43,4.7,1.8,0.0,3.9,29.9,5.7,95.2,0.973,0.0,0.0,108.4,1799.24,1908.89,958.56,426.7,332.29,188.09,3.25,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-10,31,Ongoing,99.71,91.67,-8.04,99.71,99.31,-0.4,1814.46,1807.16,-0.4,4.7,1.8,0.0,3.9,29.9,5.7,95.8,0.988,0.0,0.0,108.4,1814.46,1925.99,968.81,430.86,334.95,188.09,3.27,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-11,32,Ongoing,100.0,94.12,-5.88,100.0,100.0,0.0,1819.68,1819.68,0.0,4.7,1.8,0.0,3.9,29.9,,,0.983,12.9,0.0,108.4,1819.68,1975.56,997.02,442.26,344.52,188.09,3.67,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2025-12,33,Ongoing,100.0,96.73,-3.27,100.0,100.0,0.0,1819.68,1819.68,0.0,4.7,1.8,0.0,3.9,29.9,,101.2,0.962,12.9,0.0,108.4,1819.68,2028.54,1026.01,456.53,354.14,188.09,3.76,61,1,14.85,1
SYNTHETIC,HRI-0002,NH-613 Greenfield Highway Package 9,NH-613,Karnataka,Greenfield Highway,Ganga Infraprojects Pvt Ltd,67.54,1819.68,2023-03-01,2025-11-01,32,2026-01,34,Completed,100.0,100.0,0.0,100.0,100.0,0.0,1819.68,1819.68,0.0,4.7,1.8,0.0,3.9,29.9,5.7,101.4,0.94,12.9,0.0,108.4,1819.68,2089.9,1058.0,472.95,367.09,188.09,3.77,61,1,14.85,1
SYNTHETIC,HRI-0003,NH-927 Road Widening Package 17,NH-927,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,30.09,247.6,2020-02-01,2021-03-01,13,2020-03,1,Ongoing,1.68,6.5,4.82,1.68,6.4,4.71,4.17,15.83,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.921,0.0,0.0,0.0,4.17,18.36,10.06,4.8,3.48,0.0,0.02,61,1,4.4,0
SYNTHETIC,HRI-0003,NH-927 Road Widening Package 17,NH-927,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,30.09,247.6,2020-02-01,2021-03-01,13,2020-04,2,Ongoing,6.37,13.53,7.16,6.37,13.3,6.93,15.78,32.93,6.93,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.983,0.0,0.0,0.0,15.78,35.77,20.05,9.46,6.23,0.0,0.04,61,1,4.4,0
SYNTHETIC,HRI-0003,NH-927 Road Widening Package 17,NH-927,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,30.09,247.6,2020-02-01,2021-03-01,13,2020-05,3,Ongoing,13.52,21.2,7.69,13.52,20.86,7.34,33.47,51.65,7.34,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.001,0.0,0.0,0.0,33.47,54.12,29.98,14.7,9.39,0.0,0.05,61,1,4.4,0
SYNTHETIC,HRI-0003,NH-927 Road Widening Package 17,NH-927,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,30.09,247.6,2020-02-01,2021-03-01,13,2020-06,4,Ongoing,22.58,29.64,7.06,22.58,29.32,6.75,55.9,72.6,6.75,0.0,0.0,0.0,0.0,0.0,0.0,3.9,1.051,0.0,0.0,0.0,55.9,76.69,41.93,20.67,14.04,0.0,0.05,61,1,4.4,0
SYNTHETIC,HRI-0003,NH-927 Road Widening Package 17,NH-927,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,30.09,247.6,2020-02-01,2021-03-01,13,2020-07,5,Ongoing,33.0,36.47,3.48,33.0,36.03,3.03,81.71,89.21,3.03,0.0,0.0,0.0,0.0,0.0,0.0,19.7,1.06,0.4,0.0,0.0,81.71,93.8,50.72,25.19,17.66,0.0,0.23,61,1,4.4,0
SYNTHETIC,HRI-0003,NH-927 Road Widening Package 17,NH-927,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,30.09,247.6,2020-02-01,2021-03-01,13,2020-08,6,Ongoing,44.24,44.97,0.73,44.24,43.77,-0.47,109.54,108.38,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,26.8,1.045,0.4,0.0,0.0,109.54,112.61,61.05,30.45,20.8,0.0,0.31,61,1,4.4,0
SYNTHETIC,HRI-0003,NH-927 Road Widening Package 17,NH-927,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,30.09,247.6,2020-02-01,2021-03-01,13,2020-09,7,Ongoing,55.76,50.64,-5.11,55.76,48.74,-7.02,138.06,120.67,-7.02,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.909,0.4,0.0,0.0,138.06,126.89,68.67,34.25,23.53,,0.44,61,1,4.4,0
SYNTHETIC,HRI-0003,NH-927 Road Widening Package 17,NH-927,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,30.09,247.6,2020-02-01,2021-03-01,13,2020-10,8,Ongoing,67.0,57.94,-9.06,67.0,54.94,-12.06,165.89,136.04,-12.06,0.0,1.3,0.0,0.0,0.0,0.0,34.2,0.935,0.4,0.0,0.0,165.89,145.41,79.81,38.65,26.48,0.0,0.48,61,1,4.4,0
SYNTHETIC,HRI-0003,NH-927 Road Widening Package 17,NH-927,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,30.09,247.6,2020-02-01,2021-03-01,13,2020-11,9,Ongoing,77.42,65.69,-11.73,77.42,61.53,-15.89,191.7,152.35,-15.89,0.0,1.3,0.0,0.0,0.0,0.0,34.3,0.892,0.4,0.0,0.0,191.7,162.88,89.97,42.97,29.46,0.0,0.48,61,1,4.4,0
SYNTHETIC,HRI-0003,NH-927 Road Widening Package 17,NH-927,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,30.09,247.6,2020-02-01,2021-03-01,13,2020-12,10,Ongoing,86.48,70.27,-16.21,86.48,65.42,-21.06,214.13,161.98,-21.06,0.0,1.3,0.0,0.0,0.0,0.0,39.4,0.812,0.4,0.0,0.0,214.13,175.9,97.21,46.35,31.81,0.0,0.53,61,1,4.4,0
SYNTHETIC,HRI-0003,NH-927 Road Widening Package 17,NH-927,Telangana,Road Widening (2 to 4 lane),Malwa Builders Pvt Ltd,30.09,247.6,2020-02-01,2021-03-01,13,2021-01,11,Ongoing,93.63,76.81,-16.82,93.63,70.98,-22.65,231.82,175.74,-22.65,0.0,1.3,0.0,0.0,0.0,0.0,41.0,0.838,0.4,0.0,0.0,231.82,191.49,106.2,50.27,34.47,0.0,0.55,61,1,4.4,0
